Trial,Label,Frame,Rater
P01T04,Head,175,Algorithm
P01T04,Head,175,Rater1
P01T04,Head,175,Rater2
P01T04,Head,175,Rater3
P01T04,Chest,176,Algorithm
P01T04,Head,176,Rater1
P01T04,Chest,176,Rater2
P01T04,Head,176,Rater3
P01T04,Chest,177,Algorithm
P01T04,Chest,177,Rater1
P01T04,Chest,177,Rater2
P01T04,Head,177,Rater3
P01T04,Chest,178,Algorithm
P01T04,Chest,178,Rater1
P01T04,Chest,178,Rater2
P01T04,Head,178,Rater3
P01T04,Chest,179,Algorithm
P01T04,Chest,179,Rater1
P01T04,Chest,179,Rater2
P01T04,Head,179,Rater3
P01T04,Head,180,Algorithm
P01T04,Head,180,Rater1
P01T04,Head,180,Rater2
P01T04,Head,180,Rater3
P01T04,Head,181,Algorithm
P01T04,Head,181,Rater1
P01T04,Head,181,Rater2
P01T04,Head,181,Rater3
P01T04,Head,182,Algorithm
P01T04,Head,182,Rater1
P01T04,Head,182,Rater2
P01T04,Head,182,Rater3
P01T04,Head,183,Algorithm
P01T04,Head,183,Rater1
P01T04,Head,183,Rater2
P01T04,Head,183,Rater3
P01T04,Head,184,Algorithm
P01T04,Head,184,Rater1
P01T04,Head,184,Rater2
P01T04,Head,184,Rater3
P01T04,Head,185,Algorithm
P01T04,Head,185,Rater1
P01T04,Head,185,Rater2
P01T04,Head,185,Rater3
P01T04,Head,186,Algorithm
P01T04,Head,186,Rater1
P01T04,Head,186,Rater2
P01T04,Head,186,Rater3
P01T04,Head,187,Algorithm
P01T04,Head,187,Rater1
P01T04,Head,187,Rater2
P01T04,Head,187,Rater3
P01T04,Chest,188,Algorithm
P01T04,Head,188,Rater1
P01T04,Head,188,Rater2
P01T04,Head,188,Rater3
P01T04,Chest,189,Algorithm
P01T04,Head,189,Rater1
P01T04,Head,189,Rater2
P01T04,Head,189,Rater3
P01T04,Chest,190,Algorithm
P01T04,Head,190,Rater1
P01T04,Head,190,Rater2
P01T04,Head,190,Rater3
P01T04,Head,191,Algorithm
P01T04,Head,191,Rater1
P01T04,Head,191,Rater2
P01T04,Head,191,Rater3
P01T04,Chest,192,Algorithm
P01T04,Chest,192,Rater1
P01T04,Head,192,Rater2
P01T04,Head,192,Rater3
P01T04,Chest,193,Algorithm
P01T04,Chest,193,Rater1
P01T04,Chest,193,Rater2
P01T04,Chest,193,Rater3
P01T04,Chest,194,Algorithm
P01T04,Chest,194,Rater1
P01T04,Chest,194,Rater2
P01T04,Chest,194,Rater3
P01T04,Chest,195,Algorithm
P01T04,Chest,195,Rater1
P01T04,Chest,195,Rater2
P01T04,Chest,195,Rater3
P01T04,Chest,196,Algorithm
P01T04,Chest,196,Rater1
P01T04,Chest,196,Rater2
P01T04,Chest,196,Rater3
P01T04,Chest,197,Algorithm
P01T04,Chest,197,Rater1
P01T04,Chest,197,Rater2
P01T04,Chest,197,Rater3
P01T04,Chest,198,Algorithm
P01T04,Chest,198,Rater1
P01T04,Chest,198,Rater2
P01T04,Chest,198,Rater3
P01T04,Chest,199,Algorithm
P01T04,Chest,199,Rater1
P01T04,Chest,199,Rater2
P01T04,Chest,199,Rater3
P01T04,Chest,200,Algorithm
P01T04,Chest,200,Rater1
P01T04,Chest,200,Rater2
P01T04,Chest,200,Rater3
P01T04,Chest,201,Algorithm
P01T04,Chest,201,Rater1
P01T04,Chest,201,Rater2
P01T04,Chest,201,Rater3
P01T04,Chest,202,Algorithm
P01T04,Chest,202,Rater1
P01T04,Chest,202,Rater2
P01T04,Chest,202,Rater3
P01T04,Chest,203,Algorithm
P01T04,Chest,203,Rater1
P01T04,Chest,203,Rater2
P01T04,Chest,203,Rater3
P01T04,Chest,204,Algorithm
P01T04,Chest,204,Rater1
P01T04,Chest,204,Rater2
P01T04,Chest,204,Rater3
P01T04,Chest,205,Algorithm
P01T04,Chest,205,Rater1
P01T04,Chest,205,Rater2
P01T04,Chest,205,Rater3
P01T04,Chest,206,Algorithm
P01T04,Chest,206,Rater1
P01T04,Chest,206,Rater2
P01T04,Chest,206,Rater3
P01T04,Chest,207,Algorithm
P01T04,Chest,207,Rater1
P01T04,Chest,207,Rater2
P01T04,Chest,207,Rater3
P01T04,Chest,208,Algorithm
P01T04,Chest,208,Rater1
P01T04,Chest,208,Rater2
P01T04,Chest,208,Rater3
P01T04,Chest,209,Algorithm
P01T04,Chest,209,Rater1
P01T04,Chest,209,Rater2
P01T04,Chest,209,Rater3
P01T04,Chest,210,Algorithm
P01T04,Chest,210,Rater1
P01T04,Chest,210,Rater2
P01T04,Chest,210,Rater3
P01T04,Chest,211,Algorithm
P01T04,Chest,211,Rater1
P01T04,Chest,211,Rater2
P01T04,Chest,211,Rater3
P01T04,Chest,212,Algorithm
P01T04,Chest,212,Rater1
P01T04,Chest,212,Rater2
P01T04,Chest,212,Rater3
